0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:06 -0200] "GET /SiteSGeraldo/DomingoFamilia.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:10 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:10 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:11 -0200] "GET /SiteSGeraldo/images/DomingFamilia.png HTTP/1.1" 200 1211466
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:52:11 -0200] "GET /SiteSGeraldo/images/Janeiro-Renova%C3%A7%C3%A3o.png HTTP/1.1" 200 334440
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:54:41 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:54:41 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:54:41 -0200] "GET /SiteSGeraldo/images/Janeiro-Renova%C3%A7%C3%A3o.png HTTP/1.1" 200 666458
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:54:41 -0200] "GET /SiteSGeraldo/images/DomingFamilia.png HTTP/1.1" 200 569637
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:58:10 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:58:10 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:58:10 -0200] "GET /SiteSGeraldo/images/Janeiro-Renova%C3%A7%C3%A3o.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:58:10 -0200] "GET /SiteSGeraldo/images/DomingFamilia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:59:01 -0200] "GET /SiteSGeraldo/beta.xhtml HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:59:01 -0200] "GET /SiteSGeraldo/styles/estilos.css HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:59:01 -0200] "GET /SiteSGeraldo/images/DomingFamilia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:18:59:01 -0200] "GET /SiteSGeraldo/images/Janeiro-Renova%C3%A7%C3%A3o.png HTTP/1.1" 304 -
